lat,lon,satelite,data,geometry,index_right,NM_PAIS,AREA_KM2
-8.0966,-45.5187,GOES-16,2023-10-10 13:20:00,POINT (-45.5187 -8.0966),0,Brasil,8510417.771
-8.2545,-43.4535,GOES-16,2023-10-10 13:20:00,POINT (-43.4535 -8.2545),0,Brasil,8510417.771
-8.4863,-36.6023,GOES-16,2023-10-10 13:20:00,POINT (-36.6023 -8.4863),0,Brasil,8510417.771
-8.8509,-45.4859,GOES-16,2023-10-10 13:20:00,POINT (-45.4859 -8.850899999999999),0,Brasil,8510417.771
-8.8701,-45.4611,GOES-16,2023-10-10 13:20:00,POINT (-45.4611 -8.870100000000001),0,Brasil,8510417.771
-9.3903,-43.4605,GOES-16,2023-10-10 13:20:00,POINT (-43.4605 -9.3903),0,Brasil,8510417.771
-9.5274,-45.773,GOES-16,2023-10-10 13:20:00,POINT (-45.773 -9.5274),0,Brasil,8510417.771
-9.6866,-45.231,GOES-16,2023-10-10 13:20:00,POINT (-45.231 -9.6866),0,Brasil,8510417.771
-9.7472,-43.72,GOES-16,2023-10-10 13:20:00,POINT (-43.72 -9.747199999999999),0,Brasil,8510417.771
-9.7475,-43.6966,GOES-16,2023-10-10 13:20:00,POINT (-43.6966 -9.7475),0,Brasil,8510417.771
-9.7479,-43.6731,GOES-16,2023-10-10 13:20:00,POINT (-43.6731 -9.7479),0,Brasil,8510417.771
-9.7666,-43.6941,GOES-16,2023-10-10 13:20:00,POINT (-43.6941 -9.7666),0,Brasil,8510417.771
-9.7669,-43.6706,GOES-16,2023-10-10 13:20:00,POINT (-43.6706 -9.7669),0,Brasil,8510417.771
-9.8254,-44.8242,GOES-16,2023-10-10 13:20:00,POINT (-44.8242 -9.8254),0,Brasil,8510417.771
-9.8257,-44.8011,GOES-16,2023-10-10 13:20:00,POINT (-44.8011 -9.825699999999999),0,Brasil,8510417.771
-10.2589,-39.3393,GOES-16,2023-10-10 13:20:00,POINT (-39.3393 -10.2589),0,Brasil,8510417.771
-10.2718,-43.0369,GOES-16,2023-10-10 13:20:00,POINT (-43.0369 -10.2718),0,Brasil,8510417.771
-10.2722,-43.0131,GOES-16,2023-10-10 13:20:00,POINT (-43.0131 -10.2722),0,Brasil,8510417.771
-10.6865,-44.4809,GOES-16,2023-10-10 13:20:00,POINT (-44.4809 -10.6865),0,Brasil,8510417.771
-10.6992,-46.0607,GOES-16,2023-10-10 13:20:00,POINT (-46.0607 -10.6992),0,Brasil,8510417.771
-10.7387,-45.9649,GOES-16,2023-10-10 13:20:00,POINT (-45.9649 -10.7387),0,Brasil,8510417.771
-10.9393,-44.1897,GOES-16,2023-10-10 13:20:00,POINT (-44.1897 -10.9393),0,Brasil,8510417.771
-10.9397,-44.1663,GOES-16,2023-10-10 13:20:00,POINT (-44.1663 -10.9397),0,Brasil,8510417.771
-10.9585,-44.187,GOES-16,2023-10-10 13:20:00,POINT (-44.187 -10.9585),0,Brasil,8510417.771
-11.0859,-45.6916,GOES-16,2023-10-10 13:20:00,POINT (-45.6916 -11.0859),0,Brasil,8510417.771
-11.2516,-43.8166,GOES-16,2023-10-10 13:20:00,POINT (-43.8166 -11.2516),0,Brasil,8510417.771
-11.2707,-43.8137,GOES-16,2023-10-10 13:20:00,POINT (-43.8137 -11.2707),0,Brasil,8510417.771
-11.3621,-44.0582,GOES-16,2023-10-10 13:20:00,POINT (-44.0582 -11.3621),0,Brasil,8510417.771
-11.3625,-44.0347,GOES-16,2023-10-10 13:20:00,POINT (-44.0347 -11.3625),0,Brasil,8510417.771
-11.3813,-44.0554,GOES-16,2023-10-10 13:20:00,POINT (-44.0554 -11.3813),0,Brasil,8510417.771
-11.3817,-44.0319,GOES-16,2023-10-10 13:20:00,POINT (-44.0319 -11.3817),0,Brasil,8510417.771
-11.4384,-44.0703,GOES-16,2023-10-10 13:20:00,POINT (-44.0703 -11.4384),0,Brasil,8510417.771
-11.4389,-44.0468,GOES-16,2023-10-10 13:20:00,POINT (-44.0468 -11.4389),0,Brasil,8510417.771
-11.4572,-44.0909,GOES-16,2023-10-10 13:20:00,POINT (-44.0909 -11.4572),0,Brasil,8510417.771
-11.4576,-44.0674,GOES-16,2023-10-10 13:20:00,POINT (-44.0674 -11.4576),0,Brasil,8510417.771
-11.4581,-44.0439,GOES-16,2023-10-10 13:20:00,POINT (-44.0439 -11.4581),0,Brasil,8510417.771
-11.4585,-44.0204,GOES-16,2023-10-10 13:20:00,POINT (-44.0204 -11.4585),0,Brasil,8510417.771
-11.4768,-44.0645,GOES-16,2023-10-10 13:20:00,POINT (-44.0645 -11.4768),0,Brasil,8510417.771
-11.4773,-44.041,GOES-16,2023-10-10 13:20:00,POINT (-44.041 -11.4773),0,Brasil,8510417.771
-11.496,-44.0617,GOES-16,2023-10-10 13:20:00,POINT (-44.0617 -11.496),0,Brasil,8510417.771
-11.4965,-44.0382,GOES-16,2023-10-10 13:20:00,POINT (-44.0382 -11.4965),0,Brasil,8510417.771
-11.5148,-44.0823,GOES-16,2023-10-10 13:20:00,POINT (-44.0823 -11.5148),0,Brasil,8510417.771
-11.5152,-44.0588,GOES-16,2023-10-10 13:20:00,POINT (-44.0588 -11.5152),0,Brasil,8510417.771
-11.5157,-44.0353,GOES-16,2023-10-10 13:20:00,POINT (-44.0353 -11.5157),0,Brasil,8510417.771
-11.534,-44.0794,GOES-16,2023-10-10 13:20:00,POINT (-44.0794 -11.534),0,Brasil,8510417.771
-11.5344,-44.0559,GOES-16,2023-10-10 13:20:00,POINT (-44.0559 -11.5344),0,Brasil,8510417.771
-11.6143,-43.8795,GOES-16,2023-10-10 13:20:00,POINT (-43.8795 -11.6143),0,Brasil,8510417.771
-11.6147,-43.8559,GOES-16,2023-10-10 13:20:00,POINT (-43.8559 -11.6147),0,Brasil,8510417.771
-11.9301,-43.405,GOES-16,2023-10-10 13:20:00,POINT (-43.405 -11.9301),0,Brasil,8510417.771
-11.9493,-43.4019,GOES-16,2023-10-10 13:20:00,POINT (-43.4019 -11.9493),0,Brasil,8510417.771
-14.7645,-45.7319,GOES-16,2023-10-10 13:20:00,POINT (-45.7319 -14.7645),0,Brasil,8510417.771
