lat,lon,satelite,data
   9.326760, -63.493530,TERRA_M-M,2023-10-10 02:26:00
   9.310540, -63.261460,TERRA_M-M,2023-10-10 02:26:00
   9.308600, -63.276830,TERRA_M-M,2023-10-10 02:26:00
   7.237690, -61.564710,TERRA_M-M,2023-10-10 02:26:00
   4.703230, -60.959220,TERRA_M-M,2023-10-10 02:26:00
   4.575170, -59.871730,TERRA_M-M,2023-10-10 02:26:00
   2.924630, -64.265170,TERRA_M-M,2023-10-10 02:26:00
   2.915010, -64.263700,TERRA_M-M,2023-10-10 02:26:00
   2.570260, -65.367990,TERRA_M-M,2023-10-10 02:26:00
   2.547060, -65.406470,TERRA_M-M,2023-10-10 02:26:00
   2.532780, -65.376070,TERRA_M-M,2023-10-10 02:26:00
  10.613450, -72.284030,TERRA_M-M,2023-10-10 02:28:00
 -37.788590, -64.592480,TERRA_M-M,2023-10-10 02:15:00
 -36.977950, -57.275620,TERRA_M-M,2023-10-10 02:15:00
 -34.949180, -67.750160,TERRA_M-M,2023-10-10 02:17:00
 -33.863330, -59.771660,TERRA_M-M,2023-10-10 02:17:00
 -31.754710, -59.126870,TERRA_M-M,2023-10-10 02:17:00
 -31.704960, -64.586290,TERRA_M-M,2023-10-10 02:17:00
 -31.703280, -64.569450,TERRA_M-M,2023-10-10 02:17:00
 -31.693630, -64.587470,TERRA_M-M,2023-10-10 02:17:00
 -31.691960, -64.570570,TERRA_M-M,2023-10-10 02:17:00
 -31.463080, -64.551670,TERRA_M-M,2023-10-10 02:17:00
 -31.462350, -64.546090,TERRA_M-M,2023-10-10 02:17:00
 -31.452700, -64.564080,TERRA_M-M,2023-10-10 02:17:00
 -31.451810, -64.552800,TERRA_M-M,2023-10-10 02:17:00
 -31.451080, -64.547220,TERRA_M-M,2023-10-10 02:17:00
 -31.450100, -64.536130,TERRA_M-M,2023-10-10 02:17:00
 -31.440520, -64.553820,TERRA_M-M,2023-10-10 02:17:00
 -31.429310, -64.555470,TERRA_M-M,2023-10-10 02:17:00
 -31.418090, -64.557080,TERRA_M-M,2023-10-10 02:17:00
 -31.277100, -65.344460,TERRA_M-M,2023-10-10 02:17:00
 -31.269120, -65.333020,TERRA_M-M,2023-10-10 02:17:00
 -31.265280, -65.346170,TERRA_M-M,2023-10-10 02:17:00
 -31.263580, -65.327470,TERRA_M-M,2023-10-10 02:17:00
 -31.257310, -65.334620,TERRA_M-M,2023-10-10 02:17:00
 -31.253480, -65.348000,TERRA_M-M,2023-10-10 02:17:00
 -31.251760, -65.328950,TERRA_M-M,2023-10-10 02:17:00
 -31.245490, -65.336080,TERRA_M-M,2023-10-10 02:17:00
