lat,lon,satelite,data
   8.726200, -72.799300,GOES-16,2023-12-09 18:50:00
   8.707700, -72.799500,GOES-16,2023-12-09 18:50:00
   8.597600, -65.673900,GOES-16,2023-12-09 18:50:00
   8.206600, -66.428600,GOES-16,2023-12-09 18:50:00
   8.113100, -66.764700,GOES-16,2023-12-09 18:50:00
   7.892000, -66.733100,GOES-16,2023-12-09 18:50:00
   7.892100, -66.714600,GOES-16,2023-12-09 18:50:00
   7.873600, -66.733500,GOES-16,2023-12-09 18:50:00
   7.873600, -66.715000,GOES-16,2023-12-09 18:50:00
   7.855200, -66.715500,GOES-16,2023-12-09 18:50:00
   7.843500, -64.969000,GOES-16,2023-12-09 18:50:00
   7.744600, -66.736600,GOES-16,2023-12-09 18:50:00
   7.744700, -66.718100,GOES-16,2023-12-09 18:50:00
   7.744700, -66.699600,GOES-16,2023-12-09 18:50:00
   7.748400, -65.697900,GOES-16,2023-12-09 18:50:00
   7.726400, -66.681500,GOES-16,2023-12-09 18:50:00
   7.696400, -64.880000,GOES-16,2023-12-09 18:50:00
   6.726200, -69.586900,GOES-16,2023-12-09 18:50:00
   -.720900, -91.038800,GOES-16,2023-12-09 18:50:00
   -.739100, -91.038900,GOES-16,2023-12-09 18:50:00
  -5.864800, -79.891800,GOES-16,2023-12-09 18:50:00
 -17.245000, -60.825200,GOES-16,2023-12-09 18:50:00
 -17.245300, -60.805200,GOES-16,2023-12-09 18:50:00
 -17.245600, -60.785200,GOES-16,2023-12-09 18:50:00
 -17.264900, -60.803400,GOES-16,2023-12-09 18:50:00
 -17.265100, -60.783400,GOES-16,2023-12-09 18:50:00
 -17.766300, -63.081900,GOES-16,2023-12-09 18:50:00
 -17.766500, -63.062100,GOES-16,2023-12-09 18:50:00
 -17.786000, -63.080300,GOES-16,2023-12-09 18:50:00
 -17.786200, -63.060500,GOES-16,2023-12-09 18:50:00
 -18.009400, -60.912200,GOES-16,2023-12-09 18:50:00
 -18.592600, -63.172200,GOES-16,2023-12-09 18:50:00
 -18.825700, -63.549600,GOES-16,2023-12-09 18:50:00
 -18.825900, -63.529700,GOES-16,2023-12-09 18:50:00
 -19.818400, -58.285100,GOES-16,2023-12-09 18:50:00
 -19.858300, -58.300700,GOES-16,2023-12-09 18:50:00
 -19.858600, -58.279900,GOES-16,2023-12-09 18:50:00
 -20.514900, -58.733300,GOES-16,2023-12-09 18:50:00
 -20.600100, -59.652500,GOES-16,2023-12-09 18:50:00
 -20.620300, -59.650000,GOES-16,2023-12-09 18:50:00
 -20.676900, -58.712100,GOES-16,2023-12-09 18:50:00
 -20.677200, -58.691300,GOES-16,2023-12-09 18:50:00
 -20.696800, -58.730300,GOES-16,2023-12-09 18:50:00
 -20.697100, -58.709500,GOES-16,2023-12-09 18:50:00
 -20.697500, -58.688700,GOES-16,2023-12-09 18:50:00
 -21.026000, -59.599400,GOES-16,2023-12-09 18:50:00
 -21.046300, -59.596900,GOES-16,2023-12-09 18:50:00
 -21.046600, -59.576200,GOES-16,2023-12-09 18:50:00
 -21.066300, -59.615000,GOES-16,2023-12-09 18:50:00
 -21.066600, -59.594300,GOES-16,2023-12-09 18:50:00
 -21.067000, -59.573600,GOES-16,2023-12-09 18:50:00
 -21.423300, -58.966500,GOES-16,2023-12-09 18:50:00
 -21.423700, -58.945600,GOES-16,2023-12-09 18:50:00
 -21.747300, -61.531200,GOES-16,2023-12-09 18:50:00
 -22.318400, -61.671400,GOES-16,2023-12-09 18:50:00
 -22.425700, -61.390700,GOES-16,2023-12-09 18:50:00
 -22.731900, -59.205200,GOES-16,2023-12-09 18:50:00
 -22.732300, -59.184100,GOES-16,2023-12-09 18:50:00
 -23.287800, -59.400200,GOES-16,2023-12-09 18:50:00
 -23.308600, -59.397200,GOES-16,2023-12-09 18:50:00
 -23.475200, -59.394400,GOES-16,2023-12-09 18:50:00
 -24.389400, -60.891800,GOES-16,2023-12-09 18:50:00
