lat,lon,regiao
  -8.650116, -42.637875, nordeste
  -8.890493, -43.594130, nordeste
  -4.101203, -41.713199, nordeste
  -2.504430, -43.022477, nordeste
  -7.192727, -47.140204, nordeste
  -3.858658, -32.416300, nordeste
  -12.792088, -41.412337, nordeste
  -17.971460, -38.701454, nordeste
  -2.802911, -40.483671, nordeste
  -9.988145, -46.001330, nordeste
  -14.398974, -40.108375, nordeste
  -10.007567, -41.999844, nordeste
  -10.823892, -37.404584, nordeste
  -8.538246, -37.238347, nordeste
  -5.051979, -37.511872, nordeste
  -15.157384, -39.340463, nordeste
  -16.365156, -40.006854, nordeste
  -16.495105, -39.264378, nordeste
  -16.867331, -39.264757, nordeste
  -17.009915, -39.347960, nordeste
  -20.425901, -41.782808, sudeste
  -22.206591, -41.500562, sudeste
  -22.951191, -44.670577, sudeste
  -20.264502, -46.611835, sudeste
  -20.072062, -43.656457, sudeste
  -15.081381, -44.258850, sudeste
  -19.366087, -43.545014, sudeste
  -17.805563, -43.804960, sudeste
  -15.020229, -45.835574, sudeste
  -22.357704, -44.637449, sudeste
  -22.477640, -43.056743, sudeste
  -22.948113, -43.289089, sudeste
  -31.252578, -50.972830, sul
  -29.091734, -49.966405, sul
  -29.188292, -50.084508, sul
  -27.099280, -49.177458, sul
  -26.782520, -51.963862, sul
  -28.148504, -49.520471, sul
  -23.692639, -53.990426, sul
  -25.688518, -48.626485, sul
  -25.327677, -53.769871, sul
  -25.359409, -48.183175, sul
  -25.064243, -49.996950, sul
  -21.222276, -56.650647, sudoeste
  -18.108309, -52.912564, sudoeste
  -17.657475, -57.433476, sudoeste
  -15.298970, -55.870207, sudoeste
  -15.654702, -47.998400, sudoeste
  -10.450277, -50.101909, sudoeste
  -8.121721, -58.190126, sudoeste
  -8.411441, -73.186303, norte
  3.504258, -51.149809, norte
  -2.080104, -60.980527, norte
  -2.273647, -62.654874, norte
  0.544298, -65.835382, norte
  -5.705572, -62.450797, norte
  -4.423642, -56.723095, norte
  -5.733371, -52.898630, norte
  -5.657884, -55.991249, norte
  -8.040543, -56.660602,rionovo
  2.100915, -52.682761, norte
  -11.668656, -64.384927, norte
  -11.154436, -63.334386, norte
  -8.507198, -61.516596, norte
  -8.635448, -64.757765, norte
  5.178056, -60.399790, norte
  1.275983, -61.157797, norte
  1.050328, -61.976352, norte
  -9.978958, -46.006604, norte
  -10.644276, -50.105764, norte
